time,aug_factor,u00_prob,u07_prob,u10_prob,u17_prob,u34_prob,u35_prob,u47_prob,u00gth,u07gth,u10gth,u17gth,u34gth,u35gth,u47gth,mse,entropy,model,feature num,random seed
1665463436,3,0.027586207,0.019230769,0.014084507,0.071428571,0.044776119,0.028985507,0.044776119,0,0,0,1,0,0,0,0.124060579,2.630766497,RF,10,0
1665463436,3,0,0.038461538,0,0.028571429,0,0,0,0,0,0,1,0,0,0,0.135021823,0.984239989,LR,10,0
1665463436,3,0.075862069,0.096153846,0.197183099,0.157142857,0.059701493,0.072463768,0.074626866,0,0,0,1,0,0,0,0.111239198,2.669022242,DT,10,0
1665463436,3,0.027586207,0.076923077,0.028169014,0.185714286,0,0,0.014925373,0,0,0,1,0,0,0,0.095822235,1.757773434,GBDT,10,0
1665463436,3,0,0.076923077,0.056338028,0.271428571,0.014925373,0.014492754,0.089552239,0,0,0,1,0,0,0,0.078337124,1.969161977,AB,10,0
1665463436,3,0.048275862,0.019230769,0.028169014,0.157142857,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.102233324,2.119097728,GNB,10,0
1665463436,3,0,0.076923077,0.014084507,0.128571429,0,0,0,0,0,0,1,0,0,0,0.109357613,1.236428222,LDA,10,0
1665463437,3,0.020689655,0.134615385,0.014084507,0.242857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.08482061,1.858327984,QDA,10,0
1665463437,3,0,0,0.014084507,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123206182,0.64544959,SVM,10,0
1665463437,3,0.103448276,0.076923077,0.084507042,0.157142857,0.104477612,0.173913043,0.089552239,0,0,0,1,0,0,0,0.111907033,2.74243267,KNN,10,0
1665463439,4,0.04137931,0.038461538,0.042253521,0.071428571,0.014925373,0.028985507,0.044776119,0,0,0,1,0,0,0,0.124327089,2.692800947,RF,10,0
1665463439,4,0,0.076923077,0.028169014,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105914933,1.338654194,LR,10,0
1665463439,4,0.082758621,0.211538462,0.126760563,0.271428571,0.119402985,0.202898551,0.179104478,0,0,0,1,0,0,0,0.097997912,2.715974126,DT,10,0
1665463439,4,0.027586207,0.096153846,0.056338028,0.271428571,0.014925373,0,0.029850746,0,0,0,1,0,0,0,0.077872956,1.918931635,GBDT,10,0
1665463439,4,0.027586207,0.096153846,0.084507042,0.342857143,0,0,0.074626866,0,0,0,1,0,0,0,0.064936272,1.845299602,AB,10,0
1665463439,4,0.068965517,0.038461538,0.042253521,0.242857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.083288204,2.031360777,GNB,10,0
1665463439,4,0,0.076923077,0.028169014,0.171428571,0,0,0,0,0,0,1,0,0,0,0.099034466,1.27680472,LDA,10,0
1665463439,4,0.04137931,0.096153846,0.042253521,0.3,0,0.043478261,0.029850746,0,0,0,1,0,0,0,0.072217799,1.996528125,QDA,10,0
1665463439,4,0.006896552,0.019230769,0.028169014,0.1,0,0.014492754,0,0,0,0,1,0,0,0,0.115917274,1.72815591,SVM,10,0
1665463439,4,0.137931034,0.096153846,0.126760563,0.214285714,0.119402985,0.188405797,0.119402985,0,0,0,1,0,0,0,0.103670943,2.755836931,KNN,10,0
1665463441,5,0.034482759,0.019230769,0.028169014,0.114285714,0.014925373,0.014492754,0.044776119,0,0,0,1,0,0,0,0.112754269,2.401843981,RF,10,0
1665463441,5,0,0.096153846,0.028169014,0.2,0,0.014492754,0,0,0,0,1,0,0,0,0.092892728,1.457427074,LR,10,0
1665463441,5,0.096551724,0.096153846,0.126760563,0.171428571,0.089552239,0.057971014,0.119402985,0,0,0,1,0,0,0,0.106686281,2.741032643,DT,10,0
1665463441,5,0.027586207,0.096153846,0.042253521,0.228571429,0.014925373,0.014492754,0.029850746,0,0,0,1,0,0,0,0.086888262,2.116090433,GBDT,10,0
1665463441,5,0.020689655,0.076923077,0.056338028,0.357142857,0.029850746,0.043478261,0.134328358,0,0,0,1,0,0,0,0.063372862,2.169327276,AB,10,0
1665463441,5,0.062068966,0.038461538,0.042253521,0.142857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.10622033,2.302821123,GNB,10,0
1665463441,5,0,0.096153846,0.028169014,0.228571429,0,0.014492754,0,0,0,0,1,0,0,0,0.086478734,1.400172999,LDA,10,0
1665463441,5,0.034482759,0.115384615,0.014084507,0.285714286,0,0.057971014,0.029850746,0,0,0,1,0,0,0,0.075593833,1.931158218,QDA,10,0
1665463441,5,0.006896552,0.038461538,0.028169014,0.185714286,0,0.043478261,0.014925373,0,0,0,1,0,0,0,0.095356385,1.851451914,SVM,10,0
1665463441,5,0.172413793,0.153846154,0.197183099,0.257142857,0.119402985,0.289855072,0.223880597,0,0,0,1,0,0,0,0.113215517,2.752963171,KNN,10,0
1665463491,0,0.034482759,0.038461538,0.042253521,0.114285714,0.014925373,0.072463768,0.089552239,0,0,0,1,0,0,0,0.114633839,2.577510297,RF,6,0
1665463491,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
1665463491,0,0.055172414,0.038461538,0.056338028,0.085714286,0.029850746,0.072463768,0.074626866,0,0,0,1,0,0,0,0.122189551,2.731421987,DT,6,0
1665463491,0,0.006896552,0,0.028169014,0.042857143,0,0.014492754,0,0,0,0,1,0,0,0,0.131024792,1.735121072,GBDT,6,0
1665463491,0,0,0,0,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123177843,0,AB,6,0
1665463491,0,0.006896552,0.019230769,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105044234,1.083593787,GNB,6,0
1665463491,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LDA,6,0
1665463491,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0.115714286,0,QDA,6,0
1665463491,0,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,SVM,6,0
1665463491,0,0.027586207,0,0.028169014,0.057142857,0.014925373,0.028985507,0.014925373,0,0,0,1,0,0,0,0.127402825,2.42561379,KNN,6,0
1665463493,1,0.048275862,0.019230769,0.084507042,0.185714286,0.029850746,0.130434783,0.119402985,0,0,0,1,0,0,0,0.100723488,2.500951178,RF,6,0
1665463493,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
1665463493,1,0.068965517,0.096153846,0.070422535,0.242857143,0.014925373,0.15942029,0.104477612,0,0,0,1,0,0,0,0.089825659,2.516931097,DT,6,0
1665463493,1,0.006896552,0,0.028169014,0.085714286,0,0.028985507,0,0,0,0,1,0,0,0,0.119657083,1.577207871,GBDT,6,0
1665463493,1,0,0,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.104984607,0.435613373,AB,6,0
1665463493,1,0.020689655,0.019230769,0.014084507,0.142857143,0,0,0.014925373,0,0,0,1,0,0,0,0.105130415,1.554997247,GNB,6,0
