,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
14,1642474098,14,0.144827586,0.173076923,0.183098592,0.257142857,0.089552239,0.173913043,0.149253731,0,0,0,1,0,0,0,0.099547787,2.750660556,DNN,78,0
15,1642474117,15,0.096551724,0.076923077,0.154929577,0.228571429,0.119402985,0.144927536,0.119402985,0,0,0,1,0,0,0,0.097694678,2.728666378,DNN,78,0
16,1642474135,16,0.15862069,0.25,0.183098592,0.242857143,0.179104478,0.260869565,0.23880597,0,0,0,1,0,0,0,0.121658651,2.784403831,DNN,78,0
17,1642474154,17,0.096551724,0.211538462,0.183098592,0.357142857,0.104477612,0.115942029,0.208955224,0,0,0,1,0,0,0,0.081268795,2.66356067,DNN,78,0
18,1642474173,18,0.131034483,0.211538462,0.169014085,0.171428571,0.149253731,0.231884058,0.23880597,0,0,0,1,0,0,0,0.130012873,2.776193685,DNN,78,0
19,1642474192,19,0.110344828,0.134615385,0.169014085,0.271428571,0.059701493,0.173913043,0.134328358,0,0,0,1,0,0,0,0.091647642,2.690594595,DNN,78,0
20,1642474212,20,0.089655172,0.115384615,0.154929577,0.271428571,0.104477612,0.173913043,0.149253731,0,0,0,1,0,0,0,0.091372736,2.715152723,DNN,78,0
21,1642474232,21,0.055172414,0.173076923,0.154929577,0.214285714,0.104477612,0.130434783,0.179104478,0,0,0,1,0,0,0,0.104908135,2.7152509,DNN,78,0
22,1642474252,22,0.579310345,0.25,0.338028169,0.385714286,0.328358209,0.260869565,0.462686567,0,0,0,1,0,0,0,0.182808766,2.7490613,DNN,78,0
23,1642474272,23,0.565517241,0.269230769,0.352112676,0.357142857,0.313432836,0.304347826,0.462686567,0,0,0,1,0,0,0,0.190641457,2.762544161,DNN,78,0
24,1642474293,24,0.110344828,0.134615385,0.197183099,0.4,0.104477612,0.260869565,0.194029851,0,0,0,1,0,0,0,0.077970649,2.653343417,DNN,78,0
